customer_uid,split,recency,history,history_log1p,mens,womens,newbie,mw_count,bought_both,zip_code,channel,history_segment,history_segment_ord,treatment_arm,T,T_mens,T_womens,visit,conversion,spend
43,train,2,492.02,6.200549741171152,1,0,0,1,0,Suburban,Phone,4) $350 - $500,4,control,0,0,0,0,0,0.0
44,train,1,48.32,3.8983296782961436,0,1,0,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
45,train,10,29.99,3.433664571799657,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
46,test,2,391.33,5.972103322379354,1,0,0,1,0,Suburban,Web,4) $350 - $500,4,control,0,0,0,0,0,0.0
47,train,1,729.7,6.594002978797172,1,1,1,2,1,Suburban,Web,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
48,test,3,134.59,4.909635626474218,1,0,1,1,0,Urban,Phone,2) $100 - $200,2,womens_email,1,0,1,1,0,0.0
49,train,10,61.09,4.128584945376802,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
50,train,3,203.3,5.319589501823576,0,1,0,1,0,Suburban,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
51,train,9,185.43,5.22805583350737,1,0,0,1,0,Urban,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
52,test,7,29.99,3.433664571799657,0,1,1,1,0,Urban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
53,train,9,78.62,4.377265317572172,1,0,0,1,0,Urban,Web,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
54,train,12,150.06,5.017677108885302,0,1,0,1,0,Suburban,Phone,2) $100 - $200,2,control,0,0,0,0,0,0.0
55,test,6,42.66,3.7764323511217976,1,0,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
56,train,12,69.08,4.249637446628136,0,1,0,1,0,Rural,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
57,train,3,549.29,6.310445411994369,1,0,1,1,0,Suburban,Multichannel,5) $500 - $750,5,control,0,0,0,0,0,0.0
58,train,9,506.83,6.230146745902833,1,0,1,1,0,Rural,Multichannel,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
59,train,3,143.93,4.976250867234425,0,1,0,1,0,Suburban,Phone,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
60,train,10,115.4,4.757032535297338,1,0,0,1,0,Urban,Phone,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
61,train,2,96.91,4.5840486893659795,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
62,train,6,40.07,3.7152779279684673,1,0,1,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
63,train,11,417.21,6.035983698712472,0,1,0,1,0,Urban,Phone,4) $350 - $500,4,control,0,0,0,0,0,0.0
64,train,9,61.57,4.136285930010272,1,0,1,1,0,Suburban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
65,test,5,222.07,5.40748562354869,0,1,0,1,0,Suburban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
66,train,1,259.91,5.564175520269783,0,1,1,1,0,Suburban,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
67,train,11,53.81,4.003872659058025,1,0,1,1,0,Urban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
68,train,9,154.15,5.044392390894389,0,1,0,1,0,Suburban,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
69,test,10,1009.44,6.918141158534555,1,0,1,1,0,Suburban,Multichannel,"7) $1,000 +",7,womens_email,1,0,1,0,0,0.0
70,test,2,278.8,5.634075062231381,1,0,0,1,0,Rural,Web,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
71,train,10,31.12,3.469478889078561,1,0,0,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
72,train,2,428.74,6.0631803746495825,1,0,0,1,0,Rural,Phone,4) $350 - $500,4,mens_email,1,1,0,0,0,0.0
73,train,7,612.28,6.418821601632245,1,0,1,1,0,Suburban,Phone,5) $500 - $750,5,womens_email,1,0,1,0,0,0.0
74,test,11,228.09,5.434114939445257,0,1,1,1,0,Suburban,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
75,train,1,640.58,6.463933883996621,0,1,1,1,0,Urban,Phone,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
76,test,4,194.11,5.2735635020818075,1,0,0,1,0,Urban,Phone,2) $100 - $200,2,control,0,0,0,0,0,0.0
77,train,7,84.49,4.448399410038142,0,1,1,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
78,test,7,235.14,5.464424849478964,0,1,1,1,0,Urban,Phone,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
79,train,2,29.99,3.433664571799657,0,1,0,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
80,train,7,272.32,5.610643269912577,1,0,1,1,0,Suburban,Web,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
81,train,2,95.33,4.567779796769532,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,1,0,0.0
82,train,5,494.26,6.20508287719712,1,1,1,2,1,Suburban,Phone,4) $350 - $500,4,mens_email,1,1,0,0,0,0.0
83,train,2,809.07,6.697120663685599,1,0,1,1,0,Urban,Phone,"6) $750 - $1,000",6,mens_email,1,1,0,0,0,0.0
84,train,1,80.42,4.399620943074833,0,1,1,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
85,test,10,237.85,5.475835739835971,1,0,0,1,0,Urban,Web,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
86,test,2,82.59,4.4259238957110645,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
87,train,6,165.77,5.116615617633488,0,1,0,1,0,Urban,Web,2) $100 - $200,2,womens_email,1,0,1,1,0,0.0
88,train,3,101.61,4.630935393874117,0,1,1,1,0,Suburban,Phone,2) $100 - $200,2,control,0,0,0,0,0,0.0
89,train,8,52.64,3.9822950584134778,0,1,1,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
90,train,6,466.29,6.146950049948197,1,0,1,1,0,Urban,Multichannel,4) $350 - $500,4,mens_email,1,1,0,0,0,0.0
91,train,3,100.85,4.623501142672815,1,0,1,1,0,Urban,Phone,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
92,train,3,1397.57,7.243205565018261,1,0,1,1,0,Suburban,Multichannel,"7) $1,000 +",7,mens_email,1,1,0,0,0,0.0
93,train,2,770.58,6.648440360529752,0,1,1,1,0,Suburban,Phone,"6) $750 - $1,000",6,mens_email,1,1,0,0,0,0.0
94,train,3,1973.87,7.588257852383998,1,0,1,1,0,Suburban,Multichannel,"7) $1,000 +",7,control,0,0,0,0,0,0.0
95,train,3,133.51,4.90163854572049,1,0,0,1,0,Urban,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
96,train,8,31.52,3.48185528467961,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
97,train,1,47.44,3.8803259186848913,0,1,0,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
98,test,1,106.27,4.675349020609338,0,1,0,1,0,Suburban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
99,train,11,215.46,5.377405772867,0,1,0,1,0,Urban,Web,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
100,test,11,189.25,5.248338996741795,0,1,1,1,0,Urban,Phone,2) $100 - $200,2,control,0,0,0,0,0,0.0
101,test,10,108.12,4.692448194095152,1,0,0,1,0,Urban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
102,train,8,66.14,4.206779991551889,1,0,1,1,0,Suburban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
103,train,8,98.56,4.600760477499391,1,0,1,1,0,Suburban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
104,train,6,129.14,4.8686107940668375,1,0,0,1,0,Suburban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
105,train,2,493.17,6.202879587543584,0,1,0,1,0,Suburban,Web,4) $350 - $500,4,womens_email,1,0,1,0,0,0.0
106,train,11,146.04,4.990704658607377,0,1,1,1,0,Suburban,Phone,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
107,test,12,29.99,3.433664571799657,0,1,1,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
108,train,2,66.6,4.213607983048918,1,0,1,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
109,train,12,129.73,4.873134127573769,1,0,0,1,0,Suburban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
110,train,4,54.41,4.014760082879258,0,1,1,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
111,train,9,1172.42,7.067677840832613,1,1,1,2,1,Suburban,Web,"7) $1,000 +",7,mens_email,1,1,0,0,0,0.0
112,train,5,244.34,5.502645003604606,0,1,1,1,0,Urban,Web,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
113,train,2,287.04,5.663099359380666,1,1,1,2,1,Urban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
114,test,4,29.99,3.433664571799657,0,1,1,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
115,train,9,151.01,5.023946308155928,1,0,0,1,0,Suburban,Web,2) $100 - $200,2,control,0,0,0,0,0,0.0
116,train,11,35.43,3.5953926110204724,1,0,1,1,0,Urban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
117,train,5,84.17,4.44464925915299,1,0,1,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
118,train,3,313.6,5.751301990624177,0,1,0,1,0,Suburban,Phone,3) $200 - $350,3,control,0,0,0,0,0,0.0
119,train,1,117.27,4.772970146263026,0,1,0,1,0,Rural,Phone,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
120,train,5,29.99,3.433664571799657,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
121,train,3,1167.93,7.063844079439654,1,1,1,2,1,Rural,Web,"7) $1,000 +",7,womens_email,1,0,1,0,0,0.0
122,train,3,683.2,6.528250272543504,1,1,1,2,1,Rural,Multichannel,5) $500 - $750,5,control,0,0,0,0,0,0.0
123,train,1,110.07,4.7101606331790284,0,1,0,1,0,Urban,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
124,train,1,102.94,4.643813809580296,1,0,0,1,0,Urban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
125,train,2,29.99,3.433664571799657,0,1,0,1,0,Urban,Web,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
126,test,11,160.04,5.081652781331536,1,0,0,1,0,Rural,Web,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
127,test,1,418.68,6.039492516118564,0,1,0,1,0,Suburban,Web,4) $350 - $500,4,control,0,0,0,0,0,0.0
128,train,11,316.23,5.759627062842112,1,0,1,1,0,Urban,Phone,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
129,test,12,253.06,5.537570459595314,0,1,0,1,0,Suburban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
130,train,9,329.96,5.801997522153156,0,1,1,1,0,Suburban,Phone,3) $200 - $350,3,control,0,0,0,0,0,0.0
131,train,7,185.73,5.229663723230988,1,0,0,1,0,Suburban,Phone,2) $100 - $200,2,mens_email,1,1,0,0,0,0.0
132,test,11,52.08,3.9718002094640066,0,1,0,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
133,train,1,616.73,6.426051468788165,0,1,1,1,0,Urban,Web,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
134,test,9,123.39,4.8234217912218735,1,0,0,1,0,Urban,Phone,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
135,train,3,249.71,5.524296892681455,1,0,0,1,0,Suburban,Phone,3) $200 - $350,3,control,0,0,0,0,0,0.0
136,train,2,46.09,3.8520606642554633,0,1,0,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
137,train,8,48.87,3.9094196195580313,1,0,1,1,0,Suburban,Web,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
138,test,10,77.37,4.361441201064773,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
139,train,4,270.24,5.603004037815642,1,0,1,1,0,Urban,Phone,3) $200 - $350,3,control,0,0,0,0,0,0.0
140,train,9,228.8,5.437209365414655,1,0,0,1,0,Suburban,Multichannel,3) $200 - $350,3,mens_email,1,1,0,1,0,0.0
141,test,3,80.18,4.396668911410751,0,1,0,1,0,Urban,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
142,test,11,131.76,4.888542986851774,0,1,1,1,0,Suburban,Web,2) $100 - $200,2,womens_email,1,0,1,1,0,0.0
143,test,9,162.59,5.09736329760608,0,1,0,1,0,Urban,Phone,2) $100 - $200,2,mens_email,1,1,0,1,0,0.0
144,train,12,87.62,4.484357565771344,1,0,1,1,0,Urban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
145,train,3,29.99,3.433664571799657,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
146,train,3,29.99,3.433664571799657,0,1,0,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
147,train,7,59.96,4.110217911378391,1,0,1,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
148,train,7,78.49,4.375631227585021,0,1,0,1,0,Rural,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
149,train,2,29.99,3.433664571799657,0,1,0,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
150,train,7,206.8,5.336576078665127,1,0,0,1,0,Suburban,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
151,train,7,229.53,5.4403810058115045,1,0,0,1,0,Suburban,Web,3) $200 - $350,3,mens_email,1,1,0,1,0,0.0
152,train,1,439.93,6.088886132689151,1,1,1,2,1,Rural,Multichannel,4) $350 - $500,4,control,0,0,0,0,0,0.0
153,train,10,313.67,5.751524470641622,1,0,1,1,0,Rural,Phone,3) $200 - $350,3,womens_email,1,0,1,1,0,0.0
154,train,7,29.99,3.433664571799657,1,0,1,1,0,Suburban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
155,train,3,57.33,4.066116540765546,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,womens_email,1,0,1,1,0,0.0
156,test,2,289.55,5.671775678521114,0,1,0,1,0,Rural,Phone,3) $200 - $350,3,control,0,0,0,1,0,0.0
157,train,5,29.99,3.433664571799657,0,1,1,1,0,Suburban,Phone,1) $0 - $100,1,mens_email,1,1,0,1,0,0.0
158,train,9,274.29,5.617825087478658,1,0,0,1,0,Suburban,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
159,train,1,293.37,5.684837479488428,1,0,0,1,0,Suburban,Phone,3) $200 - $350,3,control,0,0,0,0,0,0.0
160,train,12,29.99,3.433664571799657,1,0,1,1,0,Urban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
161,train,1,407.09,6.011487738313448,1,0,0,1,0,Suburban,Web,4) $350 - $500,4,control,0,0,0,0,0,0.0
162,train,1,142.4,4.96563792816552,0,1,0,1,0,Suburban,Phone,2) $100 - $200,2,control,0,0,0,0,0,0.0
163,test,1,29.99,3.433664571799657,0,1,1,1,0,Urban,Web,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
164,train,12,284.54,5.654382124361074,1,1,0,2,1,Suburban,Web,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
165,train,2,60.2,4.11414718951828,0,1,1,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
166,test,4,1089.77,6.994639147842951,1,0,1,1,0,Urban,Multichannel,"7) $1,000 +",7,mens_email,1,1,0,0,0,0.0
167,train,7,29.99,3.433664571799657,1,0,1,1,0,Suburban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
168,train,1,747.31,6.617817330621235,0,1,1,1,0,Rural,Web,5) $500 - $750,5,womens_email,1,0,1,0,0,0.0
169,test,6,136.63,4.9245689249914415,1,0,1,1,0,Urban,Web,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
170,test,10,29.99,3.433664571799657,1,0,1,1,0,Rural,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
171,train,11,54.11,4.009331187895144,1,0,1,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
172,train,1,790.36,6.673752984333051,1,1,1,2,1,Urban,Multichannel,"6) $750 - $1,000",6,mens_email,1,1,0,0,0,0.0
173,train,4,36.49,3.6240742307478206,1,0,1,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
174,train,12,271.89,5.609068783583762,1,0,0,1,0,Rural,Web,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
175,train,5,399.46,5.992613886364503,1,0,0,1,0,Suburban,Web,4) $350 - $500,4,womens_email,1,0,1,0,0,0.0
176,test,3,39.83,3.709417105331484,0,1,1,1,0,Urban,Phone,1) $0 - $100,1,mens_email,1,1,0,1,0,0.0
177,test,10,153.58,5.040711761678725,1,0,0,1,0,Suburban,Phone,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
178,test,5,269.99,5.602081919829862,1,1,0,2,1,Suburban,Phone,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
179,train,2,29.99,3.433664571799657,1,0,1,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
180,train,4,292.61,5.682252356105838,1,0,0,1,0,Suburban,Multichannel,3) $200 - $350,3,control,0,0,0,0,0,0.0
181,train,2,576.02,6.357876927952446,0,1,1,1,0,Suburban,Web,5) $500 - $750,5,womens_email,1,0,1,0,0,0.0
182,train,6,29.99,3.433664571799657,1,0,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
183,train,9,116.3,4.76473475565943,1,0,1,1,0,Rural,Web,2) $100 - $200,2,mens_email,1,1,0,1,0,0.0
184,test,5,29.99,3.433664571799657,1,0,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
185,train,3,29.99,3.433664571799657,0,1,1,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
186,train,7,968.65,6.87693518164225,1,1,1,2,1,Suburban,Web,"6) $750 - $1,000",6,womens_email,1,0,1,0,0,0.0
187,train,7,39.78,3.708191765146309,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
188,train,9,311.81,5.745595977469612,1,0,0,1,0,Urban,Multichannel,3) $200 - $350,3,womens_email,1,0,1,1,0,0.0
189,test,1,720.17,6.580874893126198,1,1,1,2,1,Urban,Phone,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
190,train,4,69.08,4.249637446628136,0,1,0,1,0,Urban,Phone,1) $0 - $100,1,mens_email,1,1,0,0,0,0.0
191,train,12,80.56,4.401338945706255,1,0,0,1,0,Urban,Web,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
192,train,1,301.19,5.711055958622699,1,0,1,1,0,Suburban,Web,3) $200 - $350,3,control,0,0,0,0,0,0.0
193,train,10,307.64,5.732175549157419,0,1,0,1,0,Urban,Multichannel,3) $200 - $350,3,mens_email,1,1,0,0,0,0.0
194,train,7,481.56,6.179105265379537,1,0,0,1,0,Suburban,Web,4) $350 - $500,4,mens_email,1,1,0,0,0,0.0
195,train,10,29.99,3.433664571799657,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
196,train,1,895.43,6.798420208568899,0,1,1,1,0,Suburban,Web,"6) $750 - $1,000",6,womens_email,1,0,1,0,0,0.0
197,test,5,425.1,6.054674060505866,1,0,1,1,0,Rural,Phone,4) $350 - $500,4,mens_email,1,1,0,0,0,0.0
198,train,10,36.28,3.6184569898173904,1,0,1,1,0,Urban,Web,1) $0 - $100,1,control,0,0,0,0,0,0.0
199,train,4,413.46,6.026976468109342,0,1,0,1,0,Rural,Phone,4) $350 - $500,4,womens_email,1,0,1,0,0,0.0
200,train,7,32.42,3.509154523167248,1,0,0,1,0,Suburban,Phone,1) $0 - $100,1,control,0,0,0,0,0,0.0
201,train,10,170.32,5.14353315274717,1,0,1,1,0,Urban,Phone,2) $100 - $200,2,womens_email,1,0,1,0,0,0.0
202,test,1,150.93,5.023419888455675,1,0,0,1,0,Suburban,Web,2) $100 - $200,2,control,0,0,0,0,0,0.0
203,train,11,223.39,5.413385609375712,1,0,1,1,0,Rural,Phone,3) $200 - $350,3,womens_email,1,0,1,0,0,0.0
204,train,1,506.51,6.22951641515531,1,0,1,1,0,Urban,Multichannel,5) $500 - $750,5,control,0,0,0,0,0,0.0
205,train,8,575.62,6.357183470693631,1,1,1,2,1,Urban,Multichannel,5) $500 - $750,5,mens_email,1,1,0,0,0,0.0
206,train,3,29.99,3.433664571799657,0,1,0,1,0,Suburban,Web,1) $0 - $100,1,womens_email,1,0,1,1,0,0.0
207,train,2,145.76,4.988798599487081,0,1,1,1,0,Suburban,Web,2) $100 - $200,2,control,0,0,0,1,0,0.0
208,train,1,29.99,3.433664571799657,1,0,1,1,0,Rural,Phone,1) $0 - $100,1,womens_email,1,0,1,0,0,0.0
209,train,8,428.0,6.061456918928017,1,0,1,1,0,Suburban,Multichannel,4) $350 - $500,4,control,0,0,0,0,0,0.0
